종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,PER,BPS,PBR,주당배당금,배당수익률
101490,에스앤에스텍,36550,-300,-0.81,KOSDAQ,반도체,7.8405E+11,556,65.74,7667,4.77,80,0.22
272290,이녹스첨단소재,39900,-950,-2.33,KOSDAQ,IT부품,7.83702E+11,1352,29.51,10365,3.85,0,0
97230,한진중공업,9410,-10,-0.11,KOSPI,건설업,7.83611E+11,940,10.01,3843,2.45,0,0
25540,한국단자,74600,-1800,-2.36,KOSPI,전기전자,7.77E+11,5585,13.36,73375,1.02,700,0.94
3580,넥스트사이언스,18450,-750,-3.91,KOSPI,광업,7.73347E+11,NA,NA,2013,9.17,0,0
137400,피엔티,34000,0,0,KOSDAQ,기계·장비,7.73201E+11,1717,19.8,5917,5.75,100,0.29
1430,세아베스틸,21550,-750,-3.36,KOSPI,철강금속,7.72829E+11,NA,NA,45201,0.48,200,0.93
85620,미래에셋생명,4300,-85,-1.94,KOSPI,보험,7.6117E+11,482,8.92,11532,0.37,100,2.33
145720,덴티움,67800,-200,-0.29,KOSPI,의료정밀,7.50467E+11,2614,25.94,20715,3.27,200,0.29
5690,파미셀,12450,-250,-1.97,KOSPI,의약품,7.46489E+11,87,143.1,952,13.08,0,0
100090,삼강엠앤티,20200,-300,-1.46,KOSDAQ,금속,7.38802E+11,270,74.81,4805,4.2,0,0
64960,SNT모티브,50500,-1200,-2.32,KOSPI,운수장비,7.38468E+11,3952,12.78,52022,0.97,1600,3.17
2350,넥센타이어,7550,-100,-1.31,KOSPI,화학,7.37392E+11,NA,NA,14814,0.51,105,1.39
67310,하나마이크론,22850,600,2.7,KOSDAQ,반도체,7.29712E+11,NA,NA,4497,5.08,0,0
1530,DI동일,289500,1500,0.52,KOSPI,유통업,7.26835E+11,10653,27.18,198359,1.46,1500,0.52
145990,삼양사,70100,600,0.86,KOSPI,음식료품,7.22973E+11,5738,12.22,109328,0.64,1250,1.78
82270,젬백스,18050,-600,-3.22,KOSDAQ,기계·장비,7.18622E+11,42,429.76,3415,5.29,0,0
214370,케어젠,66800,-100,-0.15,KOSDAQ,제약,7.17632E+11,3193,20.92,19097,3.5,2000,2.99
195870,해성디에스,42200,-250,-0.59,KOSPI,전기전자,7.17E+11,1764,23.92,13638,3.09,450,1.07
246710,티앤알바이오팹,69000,2800,4.23,KOSDAQ,제약,7.13147E+11,NA,NA,4418,15.62,0,0
16710,대성홀딩스,44200,250,0.57,KOSPI,서비스업,7.11154E+11,2649,16.69,28431,1.55,250,0.57
5090,SGC에너지,48200,-450,-0.92,KOSPI,전기가스업,7.07432E+11,1792,26.9,38628,1.25,1500,3.11
48530,인트론바이오,21050,250,1.2,KOSDAQ,제약,7.04618E+11,476,44.22,2576,8.17,0,0
53800,안랩,69700,-2000,-2.79,KOSDAQ,소프트웨어,6.97966E+11,2138,32.6,21618,3.22,900,1.29
294090,이오플로우,60100,1100,1.86,KOSDAQ,의료·정밀기기,6.93834E+11,NA,NA,2206,27.24,0,0
25860,남해화학,13900,1200,9.45,KOSPI,화학,6.90536E+11,522,26.63,9117,1.52,80,0.58
210980,SK디앤디,31050,-650,-2.05,KOSPI,서비스업,6.89005E+11,2505,12.4,21678,1.43,600,1.93
640,동아쏘시오홀딩스,107500,0,0,KOSPI,기타금융,6.82357E+11,26725,4.02,144380,0.74,1000,0.93
383800,LX홀딩스,8940,-60,-0.67,KOSPI,기타금융,6.81949E+11,NA,NA,NA,NA,0,0
294570,쿠콘,83300,-300,-0.36,KOSDAQ,소프트웨어,6.7282E+11,2849,29.24,10011,8.32,0,0
92040,아미코젠,34000,-200,-0.58,KOSDAQ,음식료·담배,6.71558E+11,1645,20.67,7960,4.27,0,0
5610,SPC삼립,76300,-1000,-1.29,KOSPI,음식료품,6.58393E+11,NA,NA,35114,2.17,1104,1.45
71840,롯데하이마트,27850,-500,-1.76,KOSPI,유통업,6.57475E+11,1217,22.88,81582,0.34,1200,4.31
1880,DL건설,29800,300,1.02,KOSPI,건설업,6.57188E+11,7953,3.75,34403,0.87,550,1.85
131970,테스나,44500,-1000,-2.2,KOSDAQ,반도체,6.56801E+11,2260,19.69,13105,3.4,130,0.29
192650,드림텍,10050,-200,-1.95,KOSPI,전기전자,6.567E+11,346,29.05,4045,2.48,100,1
32300,한국파마,59900,-100,-0.17,KOSDAQ,제약,6.53311E+11,324,184.88,4264,14.05,50,0.08
189300,인텔리안테크,71000,-800,-1.11,KOSDAQ,일반전기전자,6.5204E+11,76,934.21,9696,7.32,100,0.14
74600,원익QnC,24750,-600,-2.37,KOSDAQ,비금속,6.51E+11,982,25.2,9070,2.73,0,0
26890,디피씨,15600,100,0.65,KOSPI,전기전자,6.5018E+11,523,29.83,4283,3.64,90,0.58
9970,영원무역홀딩스,47550,50,0.11,KOSPI,기타금융,6.48372E+11,9036,5.26,100526,0.47,1200,2.52
131290,티에스이,58400,-1700,-2.83,KOSDAQ,반도체,6.45987E+11,2594,22.51,17634,3.31,250,0.43
178320,서진시스템,34350,-1000,-2.83,KOSDAQ,통신장비,6.45448E+11,NA,NA,13364,2.57,0,0
307750,국전약품,13150,-400,-2.95,KOSDAQ,제약,6.45261E+11,NA,NA,797,16.5,0,0
6390,한일현대시멘트,36300,0,0,KOSPI,비금속광물,6.45216E+11,3732,9.73,15211,2.39,1100,3.03
17810,풀무원,16900,-450,-2.59,KOSPI,음식료품,6.44237E+11,399,42.36,10677,1.58,102,0.6
95660,네오위즈,29100,1100,3.93,KOSDAQ,디지털컨텐츠,6.41181E+11,2802,10.39,17586,1.65,0,0
42000,카페24,28700,-900,-3.04,KOSDAQ,인터넷,6.35874E+11,355,80.85,6482,4.43,0,0
34310,NICE,16700,-300,-1.76,KOSPI,서비스업,6.32634E+11,447,37.36,18634,0.9,270,1.62
39840,디오,40100,2400,6.37,KOSDAQ,의료·정밀기기,6.3255E+11,759,52.83,10330,3.88,0,0
12630,HDC,10550,-150,-1.4,KOSPI,기타금융,6.30275E+11,1869,5.64,37479,0.28,250,2.37
88800,에이스테크,14350,-750,-4.97,KOSDAQ,통신장비,6.27434E+11,NA,NA,1567,9.16,0,0
